Path;File;Number of lines;Changed Lines;Lines added;Lines removed;Number of contributers;Number of contributions;Number of fixes;Number of non fixes
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\persister\entity\UnionSubclassEntityPersister.java;UnionSubclassEntityPersister.java;488;10;6;4;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\plan\exec\internal\AbstractLoadPlanBasedLoader.java;AbstractLoadPlanBasedLoader.java;484;57;14;43;3;7;0;7
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\spi\SessionFactoryDelegatingImpl.java;SessionFactoryDelegatingImpl.java;484;67;16;51;1;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\MetadataSources.java;MetadataSources.java;481;43;22;21;1;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\util\ASTUtil.java;ASTUtil.java;480;25;17;8;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\util\config\ConfigurationHelper.java;ConfigurationHelper.java;480;11;4;7;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\MetadataBuilder.java;MetadataBuilder.java;479;14;0;14;1;1;0;1
E:\workspace\java\hibernate-orm\tooling\metamodel-generator\src\main\java\org\hibernate\jpamodelgen\util\TypeUtils.java;TypeUtils.java;471;161;102;59;2;6;3;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\registry\selector\internal\StrategySelectorBuilder.java;StrategySelectorBuilder.java;471;37;18;19;2;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\internal\SessionFactoryBuilderImpl.java;SessionFactoryBuilderImpl.java;470;1497;118;1379;2;9;0;9
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\resource\transaction\backend\jta\internal\JtaTransactionCoordinatorImpl.java;JtaTransactionCoordinatorImpl.java;468;46;29;17;3;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\proxy\AbstractLazyInitializer.java;AbstractLazyInitializer.java;466;164;124;40;5;10;0;10
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\collection\spi\PersistentCollection.java;PersistentCollection.java;463;115;67;48;3;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\jdbc\connections\internal\DriverManagerConnectionProviderImpl.java;DriverManagerConnectionProviderImpl.java;463;192;125;67;2;2;1;1
